Syed Amir,6050 level compeleted﻿,2 days ago,1,No video
Ravi thakuriya,700﻿,2 days ago,1,No video
India youtuber rock,1700level complelt﻿,2 days ago,1,No video
Jarnail Sandhu,900level﻿,2 days ago,1,No video
Mohammed Iffran,I like so much  🍬 crush  i love it﻿,3 days ago,1,No video
FARUK Khan,2197 level﻿,3 days ago,1,No video
Amal Sherif,1473﻿,3 days ago,1,No video
Randhir Kumar,6050﻿,3 days ago,1,No video
Ashok Panchal,Ashok panchal 6050﻿,3 days ago,1,No video
HAZEM HAIDAR,💙🎁﻿,3 days ago,1,No video
Arjuna Ashok,I finshe 3286 level﻿,3 days ago,1,No video
فتحي العشاري,لقد وصلت الى المرحله 6003 تحياتي، من اليمن السعيد﻿,3 days ago,1,No video
jayashree venkatesh,I hv completed 10521﻿,2 days ago,1,No video
Khalid Odeh,😍😍😍😍😍😍😍😍😍﻿,16 hours ago,0,No video
Neha Singh,I have reached level 1795﻿,1 day ago,0,No video
Jitendra Guota,My level is 6028﻿,1 day ago,0,No video
Faheem Ahm,Full enjoy﻿,1 day ago,0,No video
Faheem Ahm,6050 compleet﻿,1 day ago,0,No video
Rakibul Islam,my level 4125﻿,1 day ago,0,No video
Arya Sumit,I have completed 1077 lable﻿,2 days ago,0,No video
saroj bala,Complete 1896﻿,1 day ago,0,No video
Ramdas Khandare,I complete level 5269﻿,2 days ago,0,No video
martha 11,2185﻿,1 day ago,0,No video
mahadev powar,6057﻿,2 days ago,0,No video
Saranchimeg Dolgorsuren,My level 1670﻿,2 days ago,0,No video
Dynamo Ked dynamo,Hii﻿,2 days ago,0,No video
Analía Reyes,Level 3446 🎅 Candy Crush 🍬🍬🍭🍭🍬🍭🍬﻿,2 days ago,0,No video
Cecilio Lopez,Good﻿,2 days ago,0,No video
ĸanaraм cнoυdнary,6030 complete﻿,2 days ago,0,No video
лобар хон,1112﻿,2 days ago,0,No video
Enciu Claudia,My level of Candy Crush is 4862﻿,2 days ago,0,No video
manjula e,I am also 2340 finished﻿,2 days ago,0,No video
Kusum Sharma,I love candy crush my level5696﻿,2 days ago,0,No video
John Conlon,Belfast﻿,2 days ago,0,No video
soma shankar,My level is 3224﻿,2 days ago,0,No video
Dj Aarti A audio,My level 1990﻿,2 days ago,0,No video
Laptop Earn,4026﻿,3 days ago,0,No video
md taher Bd 24,3430﻿,3 days ago,0,No video
Himanshu Himank,1259 level finished﻿,3 days ago,0,No video
Nivi Shanmugam,I'm finished 1081 levels.﻿,3 days ago,0,No video
Md Hosan,My 1150 level﻿,3 days ago,0,No video
Leandro Freitas,A.  Mei﻿,3 days ago,0,No video
Candy-Games,"To take the 12 grapes at the door of the Sun of Madrid, hehehe!﻿",3 days ago,0,No video
Mohamed Shepl,6050﻿,3 days ago,0,No video
محمود عبدالعال,انا وصلت المستوى 6050﻿,3 days ago (edited),0,No video
Vijay Kumar,1400 leval complete﻿,3 days ago,0,No video
Tijuana Wilson,I’m at 2145﻿,3 days ago,0,No video
El Mundo De JOEL,Joel﻿,3 days ago,0,No video
Zinou Saker,1136lovil﻿,3 days ago,0,No video
Iro Suvonkulova,2692﻿,3 days ago,0,No video
Suresh gurjar,890﻿,3 days ago,0,No video
M.adnan Bhatti,2000﻿,3 days ago,0,No video
bebo 14usa,My level is 3146 complete﻿,3 days ago (edited),0,No video
Victor x Cast s,1-39﻿,3 days ago,0,No video
ahmed khmis,1018﻿,3 days ago,0,No video
marua 2025,level is 350 complete﻿,3 days ago,0,No video
Imran Khan,6025﻿,3 days ago,0,No video
vartika prajapati,I completed level 3649﻿,3 days ago,0,No video
M Muzamil Muzamil,G﻿,3 days ago,0,No video
suman patel,Sumantrai Patel  OK.﻿,3 days ago,0,No video
Simone Rodrigues vieira,Oi eu tô no nível 3000﻿,3 days ago,0,No video
luisa D R,my favorite game😊  just finished level 6005 today 😊﻿,1 week ago,8,No video
Crystal Smith,"OMGGGGGGG ♡ my favorite game I've been playing for over 5 years 😄..
tiffy cuz she's spunky and awesomeness﻿",1 week ago,4,No video
Mamta Bansal,I loved it even I finished 6005 level last 3 days I never miss it even when it open new 45 levels same day I close it﻿,1 week ago,3,No video
Priyabrata Sayan Mahata,My level 5809﻿,1 week ago,3,No video
Mafijul love,i am mafijul sk from fb.. win 3167 round﻿,1 week ago,3,No video
Pushpendra Singh Panwar,"Wow I complete ,4013 levels. Greate game..﻿",1 week ago,3,No video
Michelle mungia,My favorite characters are everyone except bubblegum troll.. but if I have to pick one.. Misty﻿,1 week ago,3,No video
manohar kumar,I am play game 1yers 2560 level complete my favorite game﻿,1 week ago,2,No video
Panda Marbun,Loved this game every day and completed level 6005🇲🇨﻿,1 week ago,2,No video
Adara Handmade,Mine is MISTY THE POP STAR because she gives different things to help.﻿,1 week ago,2,No video
nagasunayana k,My favourite game﻿,1 week ago,1,No video
Vodapelly Vedavathi,My level is just 10172﻿,1 week ago,1,No video
Rama Santra,My level is 5560﻿,5 days ago,0,No video
babu rao,This game I play for 6yrs﻿,5 days ago,0,No video
anil kumar,My leval 6018﻿,5 days ago,0,No video
Aparecido Jorge,Lindas canecas.﻿,6 days ago,0,No video
محمود عبدالعال,"انا العبه مش فتحه معايه انا فى المستوى 
6005﻿",6 days ago,0,No video
Ranjeet Kaur,I have completed my 5000 level before 2 days﻿,6 days ago,0,No video
Bijayalaxmi Das,Hi my level is 1777﻿,6 days ago,0,No video
Priyanka K,I love candy crush saga﻿,1 week ago,0,No video
Linda Thompson,I love everybody except to he bubble gum troll. I am level 1069. I love this game so much that somehow it got deleted when I bought a new phone so I started it all over again.﻿,1 week ago,0,No video
Sanjay Pahwa,This game is the best game in universe and my favorite character is sweet lalisa﻿,1 week ago,0,No video
Mahi Butq,I love this game mai passed  level 4569 only 8 manth﻿,1 week ago,0,No video
Zaki Malik,My level 1770﻿,1 week ago,0,No video
Hyangmi Kim,"My favorite game too
I only play this game,not else﻿",1 week ago,0,No video
JSKB Khushik,I passed level 6005 today and my favorite game.﻿,1 week ago,0,No video
sars Oura,my favorite game 😍﻿,1 week ago,0,No video
Alex,eu quero﻿,1 week ago,0,No video
Maurine Odongo,My fav game.﻿,1 week ago,0,No video
Hasan Mohamed Hasan,I'm fineshed level 6005.its my favorate game﻿,1 week ago,0,No video
Tania Lipi,I love Yeti and Tifi﻿,1 week ago,0,No video
GitMaster,Looks nice﻿,1 week ago,0,No video
Bhanwarlal Janni,I am level 3568﻿,1 week ago,0,No video
Matilde da Motta Medeiros,Aaaaaaa meu Deus que lindooo﻿,1 week ago,0,No video
Lorran Santiago,"my favorite character is Yeti, he's big and hairy... so cute and so sweet. i love the sagas where he appears﻿",1 week ago,0,No video
uche johnson,I like Tiffi (Toffette) more than every other character because she has been with me since level 1and i saw her yesterday at level 6005﻿,1 week ago,0,No video
fredy anita,Hi my favorite it's candy crush saga for me great game nd so entertained.👏﻿,1 week ago,0,No video
Francis Soza,Que tuani 😍﻿,1 week ago,0,No video
Choton Dutta,I'm like candy crush saga level 1142﻿,1 week ago,0,No video
Eki Fatmawati,Lucu..indonesia﻿,1 week ago,0,No video
Suma Prasannakumar,I love candy crush game booster wheel episodeRace and sugar drops loving soooo muchhhh﻿,1 week ago,0,No video
Neha Prabhu,Mine favourite is yeti﻿,1 week ago,0,No video
Alfons cipta,good candy crush saga i like.....﻿,1 week ago,0,No video
anurag srivastav,"I am anurag srivastav
Win
5966 level﻿",1 week ago,0,No video
Israela Israela,i like candy crush﻿,1 week ago,0,No video
Entertainment Video,Wow👍👍﻿,1 week ago,0,No video
Ashish Sharma,"Sweet lalisa 
Bcoz its amazing﻿",1 week ago,0,No video
yousuf basha,candy-crush saga king my level is 5960﻿,2 weeks ago,6,No video
Angelitto chua,Oh my favorite friend is odus and nut cracker merry christmas﻿,2 weeks ago,4,No video
Reta Sumba,Dmn nih﻿,2 weeks ago,3,No video
Doreen Goff,Yeti is in New York﻿,2 weeks ago,2,No video
il kouraoui mohamed,خوتي عفكم عونن نوصل 100جيم في القنات إديالي عفكم﻿,2 weeks ago,2,No video
Poornesh gowda 9145016192,3000﻿,2 weeks ago,2,No video
Panda Marbun,"I loved this game every day, now my level is 6005🇲🇨🔝﻿",1 week ago,1,No video
Eki Fatmawati,Candy crush level 1676(Nabil)..duluan udh 2rb lbh tp kehapus﻿,1 week ago,1,No video
Chander Mahato,"Only ""candy crush saga.""No.1👍﻿",1 week ago,1,No video
Myrtle Joyce Lagarita,Does Mr. Toffee blow Yeti a kiss?! LOL﻿,2 weeks ago,1,No video
ফানি বাংলা,I joint﻿,2 weeks ago,1,No video
Usilai Sakthi SRV,Super game﻿,2 weeks ago,1,No video
Justin Maduako,Yes he is because he wants to be great 👍 at skiing ⛷ at his original series candy 🍭 🍬 🍫 crush in the future 2020’s.﻿,2 weeks ago,1,No video
Eki Fatmawati,Candy crush level 1676 nabilD..duluan udh 2rb lbh tp kehapus...﻿,1 week ago,0,No video
Chander Mahato,Best game! I am at label 4000.﻿,1 week ago,0,No video
Yogendra Pal,I am at 5972 level﻿,1 week ago,0,No video
Waris Khan,My level 1500﻿,1 week ago,0,No video
VOS VOS,level 6056 is blocked﻿,1 week ago,0,No video
Ashu Saini,My lavle 3050﻿,1 week ago,0,No video
Debarun Chatterjee,My level is 2657..﻿,1 week ago,0,No video
rish raykal,Gtf﻿,1 week ago,0,No video
Sara Khan,Good﻿,1 week ago,0,No video
Sara Khan,Sara﻿,1 week ago,0,No video
Desiri Shank,Love this game only on level 759 can't wait at least to hit a thousand I believe he is a New York﻿,1 week ago,0,No video
Hakeem Johnson,My level is 1138﻿,2 weeks ago,0,No video
Atif Bagwan,My favorite game in my mobile 👌🤟🤟❤💐🌹🌹🌹﻿,2 weeks ago,0,No video
Hakeem Johnson,Candy crush😍﻿,2 weeks ago,0,No video
pankaj sharma,My level is 4100﻿,2 weeks ago,0,No video
SANDIP SWARNAKAR,My favorite game﻿,2 weeks ago,0,No video
Trương huấn,Chu﻿,2 weeks ago,0,No video
Rahul Singh Yadav,My favourite 😍😍﻿,2 weeks ago,0,No video
K13rAnW3AvEr05,BRING BACK THE OLD MAP DESIGN!﻿,3 weeks ago,4,No video
Myrtle Joyce Lagarita,Any cake... especially birthday cake﻿,3 weeks ago,3,No video
Vanessa Busra,White forest... 😊﻿,3 weeks ago,3,No video
Risky Boy Naushad,I'm indian and u﻿,3 weeks ago,2,No video
Jan Tabira,Let him eat the cake﻿,3 weeks ago,2,No video
Otavio Barros Zanelli,Hum Delicius﻿,3 weeks ago,2,No video
HAZEM HAIDAR,💙﻿,3 weeks ago,1,No video
Tania Tania,"Hi,,, 
I am Bangladeshi 😍
I love candy crush 😍﻿",3 weeks ago,1,No video
lisawilliams969 Tierra1693,Pumpkin 💘 reminds me of my mom ❤❤❤ her so much😘😘🤗🤗﻿,3 weeks ago,1,No video
Entertainment Video,Ranking top﻿,3 weeks ago,1,No video
Filipa Castelo Branco,Chocolate.Because  i like very much Chocolate 🍫﻿,3 weeks ago,1,No video
il kouraoui mohamed,خوتي عفكم عونن نوصل 100جيم في القنات إديالي عفكم﻿,3 weeks ago,1,No video
Sry Aunyong,K﻿,1 week ago,0,No video
Tolulope Oladele,"Chocolate cause it taste so
Good﻿",2 weeks ago,0,No video
Johanna Alonzo,Soy yo de nuevo﻿,3 weeks ago,0,No video
Chim hai TAN,ีัา่นา﻿,3 weeks ago,0,No video
Ashok Singh,Yesterday I made a purchase worth 159 INR the amount was deducted from my account but I didn't got the boosters for which I made the purchase. So friends beware of all the purchase that u wud make from these CHEATERS.﻿,3 weeks ago,0,No video
Ebby L,Yellow cake with chocolate frosting!.🤤﻿,3 weeks ago,0,No video
Katharina Klein,"Yes, Candy Crush﻿",3 weeks ago,0,No video
زوزو محمد,لعبه جميله﻿,3 weeks ago,0,No video
world the greatest Green,red velvet cause its my favorite﻿,3 weeks ago,0,No video
MBxee MD,💗💞💝 i love candy crush saga﻿,3 weeks ago,0,No video
《وام يزوني 》,وين العراقين﻿,3 weeks ago,0,No video
AM vs PM,I am 6000 level complete in candy crush saga﻿,3 weeks ago,0,No video
Wm Chan,Mango mousse cake because I love mango and the texture of mousse﻿,3 weeks ago,0,No video
Antonia Regalado Salinas,Jajajaja 🤣🤣🤣🤣🤣🤣🤣﻿,3 weeks ago,0,No video
ubaid khan,3060💪💪🙌🙌😱😱👏👏☕☕👈🌹👌﻿,3 weeks ago,0,No video
Anvarsk Anvarsk,so cuot﻿,1 month ago,2,No video
Balwinder addiwal Singh 1993,💣💣💣🍒🍎﻿,1 month ago,1,No video
Vishnu priya,🎉🎉National candy 🍬 day 🍫🍬🍭🍰🍰🎂🎂🎉🎉😍😍﻿,1 month ago,1,No video
il kouraoui mohamed,ختي ديرو جيم في القنات إديالي﻿,1 month ago,1,No video
